user_id,product_id,rating,timestamp
user_91,product_15,5,2023-01-01 00:00:00
user_110,product_4,4,2023-01-01 01:00:00
user_187,product_9,3,2023-01-01 02:00:00
user_198,product_49,3,2023-01-01 03:00:00
user_171,product_2,5,2023-01-01 04:00:00
user_7,product_12,5,2023-01-01 05:00:00
user_174,product_42,4,2023-01-01 06:00:00
user_34,product_48,3,2023-01-01 07:00:00
user_80,product_29,4,2023-01-01 08:00:00
user_163,product_44,5,2023-01-01 09:00:00
user_49,product_5,4,2023-01-01 10:00:00
user_103,product_16,5,2023-01-01 11:00:00
user_131,product_44,5,2023-01-01 12:00:00
user_1,product_18,3,2023-01-01 13:00:00
user_133,product_41,4,2023-01-01 14:00:00
user_53,product_34,4,2023-01-01 15:00:00
user_105,product_45,4,2023-01-01 16:00:00
user_3,product_25,3,2023-01-01 17:00:00
user_53,product_4,2,2023-01-01 18:00:00
user_190,product_28,5,2023-01-01 19:00:00
user_145,product_36,4,2023-01-01 20:00:00
user_43,product_19,4,2023-01-01 21:00:00
user_161,product_48,5,2023-01-01 22:00:00
user_189,product_20,5,2023-01-01 23:00:00
user_13,product_9,3,2023-01-02 00:00:00
user_94,product_4,4,2023-01-02 01:00:00
user_47,product_35,4,2023-01-02 02:00:00
user_14,product_5,5,2023-01-02 03:00:00
user_199,product_25,5,2023-01-02 04:00:00
user_189,product_3,5,2023-01-02 05:00:00
user_39,product_38,4,2023-01-02 06:00:00
user_81,product_38,5,2023-01-02 07:00:00
user_110,product_49,2,2023-01-02 08:00:00
user_52,product_34,3,2023-01-02 09:00:00
user_23,product_0,4,2023-01-02 10:00:00
user_153,product_23,2,2023-01-02 11:00:00
user_187,product_35,3,2023-01-02 12:00:00
user_123,product_5,5,2023-01-02 13:00:00
user_40,product_40,5,2023-01-02 14:00:00
user_156,product_45,4,2023-01-02 15:00:00
user_14,product_43,4,2023-01-02 16:00:00
user_44,product_30,4,2023-01-02 17:00:00
user_64,product_19,4,2023-01-02 18:00:00
user_88,product_23,1,2023-01-02 19:00:00
user_70,product_24,5,2023-01-02 20:00:00
user_8,product_35,3,2023-01-02 21:00:00
user_87,product_20,4,2023-01-02 22:00:00
user_128,product_29,1,2023-01-02 23:00:00
user_135,product_23,5,2023-01-03 00:00:00
user_62,product_43,5,2023-01-03 01:00:00
user_138,product_41,5,2023-01-03 02:00:00
user_135,product_21,4,2023-01-03 04:00:00
user_162,product_27,3,2023-01-03 05:00:00
user_162,product_6,5,2023-01-03 06:00:00
user_32,product_34,4,2023-01-03 07:00:00
user_122,product_27,4,2023-01-03 08:00:00
user_4,product_13,1,2023-01-03 09:00:00
user_40,product_9,2,2023-01-03 10:00:00
user_27,product_15,4,2023-01-03 11:00:00
user_134,product_15,4,2023-01-03 12:00:00
user_71,product_30,5,2023-01-03 13:00:00
user_11,product_41,3,2023-01-03 14:00:00
user_161,product_24,4,2023-01-03 15:00:00
user_32,product_12,3,2023-01-03 16:00:00
user_47,product_5,2,2023-01-03 17:00:00
user_150,product_43,4,2023-01-03 18:00:00
user_61,product_8,3,2023-01-03 19:00:00
user_36,product_44,3,2023-01-03 20:00:00
user_98,product_35,4,2023-01-03 21:00:00
user_171,product_42,4,2023-01-03 22:00:00
user_103,product_19,2,2023-01-03 23:00:00
user_34,product_17,2,2023-01-04 00:00:00
user_192,product_42,3,2023-01-04 01:00:00
user_100,product_20,2,2023-01-04 02:00:00
user_174,product_3,5,2023-01-04 03:00:00
user_130,product_49,4,2023-01-04 04:00:00
user_0,product_32,4,2023-01-04 05:00:00
user_4,product_26,4,2023-01-04 06:00:00
user_141,product_6,5,2023-01-04 07:00:00
user_102,product_5,5,2023-01-04 08:00:00
user_26,product_14,5,2023-01-04 09:00:00
user_136,product_17,5,2023-01-04 10:00:00
user_14,product_31,4,2023-01-04 11:00:00
user_89,product_10,5,2023-01-04 12:00:00
user_41,product_19,4,2023-01-04 13:00:00
user_123,product_23,3,2023-01-04 14:00:00
user_178,product_14,3,2023-01-04 15:00:00
user_62,product_47,4,2023-01-04 16:00:00
user_95,product_6,5,2023-01-04 17:00:00
user_51,product_20,4,2023-01-04 18:00:00
user_95,product_41,5,2023-01-04 19:00:00
